source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude_deg,source_latitude_uncertainty_deg,source_longitude_deg,source_longitude_uncertainty_deg,N,E,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_uncertainty,source_magnitude_type,station_network_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_category,trace_name,path_p_travel_s,path_p_residual_s,path_s_travel_s,path_s_residual_s,filename
20220600000000,2022-06-22 17:15:08.30,0.31,38.776,2.2,-27.349,2.5,4291977.365,469684.3826,3.8,5,1.3,,ML,,ASBA,,,,,earthquake,CP.ASBA..EH,2022-06-22 17:15:09.65,"0,001",2022-06-22 17:15:10.65,"-0,011",2022-06-22-1714-56S_SWARM.SEI
20220600000000,2022-06-24 22:30:52.10,0.62,38.759,3.9,-27.299,3.3,4290075.545,474021.4393,9,3.8,1.7,,ML,,PBIS,,,,,earthquake,CP.PBIS.00.HH,2022-06-24 22:30:53.46,"-0,321",2022-06-24 22:30:54.81,"-0,221",2022-06-24-2230-16S_SWARM.SEI
20220600000000,2022-06-24 22:39:41.10,0.66,38.757,4.2,-27.298,3.8,4289853.328,474107.6016,8.3,4.5,1.2,,ML,,PBIS,,,,,earthquake,CP.PBIS.00.HH,2022-06-24 22:39:42.35,"-0,331",2022-06-24 22:39:43.66,"-0,201",2022-06-24-2239-13S_SWARM.SEI
20220600000000,2022-06-25 00:06:11.20,0.53,38.765,3,-27.285,2.2,4290737.465,475239.9025,7,3.4,1.1,,ML,,PBIS,,,,,earthquake,CP.PBIS.00.HH,2022-06-25 00:06:12.31,"-0,241",2022-06-25 00:06:13.47,"-0,071",2022-06-25-0005-30S_SWARM.SEI
20220700000000,2022-07-02 15:27:58.60,0.36,38.746,2.7,-27.399,2.7,4288666.107,465326.6422,4.5,6.2,2.1,,ML,,ASBA,,,,,earthquake,CP.ASBA..EH,2022-07-02 15:28:00.11,"0,051",,,2022-07-02-1527-28S_SWARM.SEI
20220700000000,2022-07-02 15:38:54.40,0.43,38.726,2.7,-27.379,3.2,4286439.39,467055.4746,4.2,2.7,1.7,,ML,,ASBA,,,,,earthquake,CP.ASBA..EH,2022-07-02 15:38:55.43,"-0,051",2022-07-02 15:38:56.33,"0,021",2022-07-02-1538-25S_SWARM.SEI
20220700000000,2022-07-02 16:33:42.60,0.85,38.77,6.4,-27.369,12,4291318.379,467944.4075,2,7.4,1.3,,ML,,ASBA,,,,,earthquake,CP.ASBA..EH,2022-07-02 16:33:43.90,"-0,001",2022-07-02 16:33:44.69,"-0,151",2022-07-02-1632-58S_SWARM.SEI
20220700000000,2022-07-05 00:57:23.00,0.46,38.755,2.6,-27.33,2.6,4289640.933,471326.4033,6,2.7,1.7,,ML,,ASBA,,,,,earthquake,CP.ASBA..EH,2022-07-05 00:57:24.12,"-0,161",2022-07-05 00:57:25.48,"0,231",2022-07-05-0057-00S_SWARM.SEI
20220700000000,2022-07-07 14:51:55.10,0.48,38.783,3.4,-27.318,3.2,4292744.319,472379.8804,8.6,3.7,1.2,,ML,,PBIS,,,,,earthquake,CP.PBIS.00.HH,2022-07-07 14:51:56.91,"0,031",2022-07-07 14:51:58.34,"0,121",2022-07-07-1451-42S_SWARM.SEI
20220700000000,2022-07-07 15:08:10.00,0.31,38.783,2.3,-27.349,2.5,4292754.136,469687.346,1.9,1.7,1.3,,ML,,ASBA,,,,,earthquake,CP.ASBA..EH,2022-07-07 15:08:11.42,"0,021",2022-07-07 15:08:12.41,"-0,011",2022-07-07-1507-51S_SWARM.SEI
